FTT - Dark Fiber,1357682.0800000175
FTT - Wavelengths,2361.92
ISP,713486.7999999992
Dark Fiber - Metro,4050582.249999405
SONET,1943998.0999999994
Managed WAN-LAN,185169.53000000026
Managed Cyber Security,728.1600000000001
FTT - Ethernet,703090.4400000016
zColo,2897183.980000084
FTT - SONET,2084.2
IP Services,1115833.5399999695
Wavelengths - Metro,184648.92999999973
Live Video,1912.3400000000001
Dark Fiber - Long Haul,675994.7499999966
Cloud,66135.97
Wavelengths - Long Haul,306543.6299999989
FTT - Small Cell,758574.030000036
Ethernet,2785736.1899999883
